Latitude,Longitude,Id
44.4583254,-87.506842,13
37.709459,-122.4502949,304
34.2383979,-77.92003,21
29.748402,-95.356734,23
38.323822,-75.212182,28
38.610215,-89.3742014,30
36.9597694,-122.0537345,33
41.8031779,-71.4066697,35
37.7160626,-122.4397166,18
37.7538839,-122.4161698,37
37.7286644,-122.4316912,40
37.7215571,-122.4374356,42
37.7865748,-122.4163415,44
30.3129025,-81.6886853,47
37.7238347,-122.4022064,49
37.7832197,-122.4143233,52
37.786311,-122.414213,54
43.3308435,-95.6233358,56
33.2315511,-81.3617713,61
30.3130098,-81.6886811,63
43.0908432,-95.624286,66
37.7841649,-122.4109962,68
37.7623836,-122.4191881,70
28.068747,-80.557928,73
37.780534,-122.4768166,445
37.7360869,-122.4247696,6
30.3130415,-81.6886912,11
37.7807488,-122.4687191,87
41.4711466,-90.5673791,89
44.4583231,-87.5058806,91
37.7294903,-122.3863567,80
43.203907,-77.541454,94
37.7429513,-122.4056933,96
34.2367707,-77.9302592,98
37.7119732,-122.4529797,101
37.7388702,-122.4683636,103
37.7437528,-122.4395394,106
38.5390423,-121.4844147,108
37.7147991,-122.4427567,110
37.719427,-122.4384511,113
37.786141,-122.453538,115
39.7482305,-105.0299448,117
43.4914662,-96.1955085,122
29.4249995,-98.5354033,124
26.0205994,-80.1490766,127
34.4193937,-103.1582768,129
39.7564563,-105.0638027,131
30.3130844,-81.6887431,134
41.9557285,-97.2177393,138
37.7881421,-122.4187306,141
34.2360821,-77.9402545,143
38.8609479,-86.5134667,146
37.76016,-122.417831,77
-35.119393,147.382139,84
37.7390557,-122.4145573,157
29.6429736,-90.543256,160
30.3128827,-81.6886793,162
42.7758928,-85.8614487,164
38.3528584,-120.7766487,167
37.7426864,-122.4792991,169
37.731414,-122.390145,172
37.782736,-122.464776,174
37.7830636,-122.4326772,176
30.3153402,-81.6805657,179
36.8368218,-75.9732563,181
30.3158579,-81.6895818,183
37.7865159,-122.4151275,186
37.7250449,-122.4610212,188
37.7421328,-122.4226266,195
39.7502007,-105.0299529,198
37.7645065,-122.433426,200
37.7333625,-122.4328611,203
36.4126743,-99.4073822,205
34.2359272,-77.9420831,207
41.3307457,-89.1035722,210
31.28936,-92.412945,213
37.7907129,-122.4177829,214
36.8367868,-75.9732444,152
40.7263489,-73.9959915,219
37.7723393,-122.4303391,150
30.3136869,-81.6888868,155
40.7306591,-73.9923337,233
36.9626108,-122.0438067,237
37.7776986,-122.4381094,225
37.724638,-122.4588195,240
37.7797423,-122.4874174,242
34.2364726,-77.9354415,244
37.7719422,-122.4301458,247
-26.2056167,28.0337348,249
39.7467718,-105.0299759,251
37.7810808,-122.4714488,254
34.2362139,-77.9386786,256
37.7172903,-122.473566,259
37.7321424,-122.4058926,261
37.7775789,-122.4316829,263
41.8185125,-71.4076494,266
34.2379599,-77.9181856,270
42.5558832,-84.3056202,273
37.7857382,-122.4145238,275
38.5203642,-121.9836461,278
37.713619,-122.43627,280
35.3810674,-119.0354483,283
37.780019,-122.479569,285
30.5905963,-91.1592799,287
28.0499706,-82.7801679,290
40.7272257,-73.9952917,292
41.2550987,-82.406589,223
39.4466005,-88.1707028,230
42.295053,-75.937539,307
32.037609,-93.7107728,310
37.741564,-122.4054679,312
43.106888,-75.212106,314
33.4683516,-116.1030175,317
44.3116287,-96.8024226,300
31.2874921,-92.4101579,319
30.9143268,-99.7873008,324
37.725565,-122.461104,326
37.1280474,-113.5212135,329
44.3116485,-96.8019073,331
37.742951,-122.4723263,333
37.723891,-122.434976,336
37.7794453,-122.5035011,338
37.722883,-122.435828,341
37.7827948,-122.4205606,343
37.7426406,-122.4791277,345
37.786293,-122.4185089,348
37.7425574,-122.4221592,353
34.8127296,-106.7443019,355
34.2362144,-77.9386703,357
37.783567,-122.4102138,360
37.752802,-122.5051964,362
33.2316619,-81.3617743,365
41.7916167,-107.2390673,367
37.711796,-122.4558784,298
36.9597514,-122.0589448,302
38.8609502,-86.5132047,418
37.7372648,-122.4239046,420
37.7825183,-122.4673968,422
34.8075466,-106.7356075,425
36.959795,-122.0570237,427
37.7495982,-122.4088242,429
39.447643,-88.1696206,432
37.7246786,-122.4344932,436
37.727883,-122.403394,439
41.3310529,-89.1001855,441
40.9285642,-100.1667517,444
37.7542446,-122.4826506,372
36.9597687,-122.0540833,375
39.752968,-105.030314,379
30.3147478,-81.6788746,382
30.31278,-81.6886462,384
37.720352,-122.430689,473
37.779698,-122.4234088,389
31.2897274,-92.4134752,391
30.3124686,-81.6885515,394
31.2898918,-92.4138047,387
34.2360161,-77.9395376,396
37.789531,-122.4137411,399
37.7828195,-122.4629922,403
41.8217781,-71.4099813,406
31.2852296,-92.4083655,410
30.3148134,-81.6892598,415
37.7868579,-122.4135124,516
36.9691539,-122.037602,519
44.3116638,-96.8030395,522
44.9367463,-91.3952159,457
33.5206753,-80.8818704,459
37.804578,-122.433011,462
37.772355,-122.509427,464
37.7692662,-122.415454,466
38.0822402,-95.6399518,469
39.7544,-104.9944131,474
37.73124,-122.450063,476
35.3810449,-119.0359717,478
43.0308864,-85.803809,481
37.7541947,-122.4888054,483
37.7198597,-122.4389199,486
37.7573263,-122.4165889,488
27.3522294,-82.4912546,490
34.236444,-77.9342715,493
37.7642471,-122.462039,495
32.1049819,-83.7985002,500
37.8399191,-122.2874445,502
42.0198502,-87.6889378,505
37.7722514,-122.428683,507
30.3127844,-81.6886094,509
29.3314548,-94.7699547,512
37.7702875,-122.4439215,450
31.2939756,-92.4201306,452
31.2854145,-92.4084702,532
37.7144536,-122.4703706,534
14.5827195,120.9855742,537
34.2364565,-77.9341195,539
37.7830907,-122.4213096,542
37.7217025,-122.4373785,544
37.769954,-122.424832,549
37.7288721,-122.4307409,551
39.9462367,-75.1768528,556
34.2362264,-77.9369183,559
37.7760661,-122.4198517,561
36.9705889,-122.0366327,564
44.3116521,-96.8022139,566
37.7943254,-122.4049977,569
32.0376843,-93.703742,571
37.7943007,-122.39573,574
34.2383099,-77.9162957,576
37.730296,-122.4762827,579
31.289162,-92.4512203,581
37.7828006,-122.4141366,1
37.7447292,-122.4523811,3
44.0295924,-88.5450461,5
41.331369,-89.0963143,7
39.7513662,-105.0299538,414
43.0788972,-73.4956207,515
37.7862011,-122.4176006,527
30.3152811,-81.6802949,530
37.7869455,-122.4135242,14
37.7893679,-122.4133898,15
35.3810448,-119.0328367,17
37.7941394,-122.3986831,19
36.9758522,-122.033063,20
37.7762014,-122.4227065,22
37.8075303,-122.4178402,25
31.8038464,-85.9803605,29
37.782625,-122.466055,31
37.7719231,-122.4306532,32
37.7247727,-122.4594628,34
37.7514812,-122.4064203,36
30.3130968,-81.6887088,38
34.8091731,-106.7388384,39
34.2383171,-77.916071,43
39.9382373,-82.0023274,45
40.3133171,-75.2556732,46
37.7732175,-122.4389052,48
37.7839724,-122.4122507,50
37.7800925,-122.4789343,51
37.7751675,-122.422805,53
30.3130217,-81.6886849,55
37.7642646,-122.4028098,58
30.3130771,-81.6887025,60
33.5177261,-80.8769415,62
37.7894429,-122.4040993,10
40.7264458,-73.9961087,12
42.0193112,-87.7714963,69
37.7533887,-122.4912402,71
41.8145744,-71.4068078,72
37.7862011,-122.4176006,74
41.8161035,-71.4064616,75
43.0935066,-95.6242287,76
36.682532,-76.9377371,78
36.9621306,-122.0450128,81
37.7802657,-122.4767208,83
30.3128991,-81.6886459,86
37.7942579,-122.4235753,88
37.7859049,-122.4121833,90
37.7822462,-122.4275817,92
35.381047,-119.0369946,95
37.7890431,-122.4189452,97
34.2360257,-77.9394249,99
37.780806,-122.4759285,100
37.7858891,-122.418358,102
37.7895975,-122.4042789,104
30.3128708,-81.6886755,105
37.7295888,-122.4046712,107
30.3128873,-81.6886418,109
46.6712065,-123.7769785,111
44.5793775,-91.220766,112
37.7301245,-122.4049631,116
47.0256212,-91.6744716,65
37.7510199,-122.414245,67
43.4992137,-96.196568,123
36.9597841,-122.0589913,125
36.9597668,-122.0550551,126
30.3137873,-81.6889565,128
37.7832134,-122.4635491,130
37.8403725,-122.2843332,132
39.0026376,-82.0416805,137
30.3138677,-81.6889812,139
36.9597817,-122.0588811,140
37.8397136,-122.2879043,142
37.3891747,-122.0818642,144
34.2360854,-77.9402158,145
36.962562,-122.0438116,147
37.7170952,-122.4410684,148
37.7695219,-122.4529142,149
37.7217781,-122.4370261,151
34.2362139,-77.9386786,153
39.4462546,-88.1715479,154
42.7758815,-85.8614486,156
37.782617,-122.466234,158
42.6603943,-85.8002593,161
35.3810534,-119.0338275,163
33.4017288,-81.4224105,166
36.8366855,-75.973172,168
37.741549,-122.5052906,170
37.715762,-122.440339,119
37.7091467,-122.4528171,121
42.6586362,-85.8003146,177
33.4683409,-116.1030067,178
37.7250627,-122.4341055,180
34.4345969,-83.1067536,182
37.7827715,-122.414131,185
36.6895711,-121.6587902,187
34.0599708,-106.8918636,189
43.10671,-75.2122125,191
39.3011495,-90.4074902,192
35.3810275,-119.034501,196
36.9628096,-122.0435884,197
41.7907401,-107.2387211,199
43.8199635,-73.1038297,201
37.7834015,-122.4332076,202
48.7612039,-98.38439,204
37.7825687,-122.4682938,206
42.3312257,-71.0948184,208
46.6706355,-123.7789104,209
34.2359119,-77.9407619,211
36.9734279,-122.0347826,215
37.7924139,-122.4012733,216
37.7440583,-122.4532041,218
36.9744952,-122.034162,220
37.7906029,-122.4179807,222
37.7747882,-122.4375245,224
37.7604825,-122.4663673,173
44.4583161,-87.5028854,175
35.3810532,-119.0342431,232
37.7821248,-122.4827444,234
37.7235882,-122.4365749,236
37.7885566,-122.4154415,238
37.7823945,-122.4170989,239
34.419393,-103.1580561,245
37.7433272,-122.4206823,246
37.7821513,-122.4460842,248
30.3135537,-81.6888463,250
33.6800794,-117.9165919,252
37.7805166,-122.4084162,255
37.7538685,-122.4900921,257
37.7647612,-122.4170669,258
37.738733,-122.414197,260
41.4386208,-97.3596582,262
37.7426812,-122.4901221,264
30.3130647,-81.6887368,265
43.3841561,-98.8426156,267
37.7830684,-122.4138531,269
37.7318047,-122.4491892,271
43.8020712,-73.0956381,272
37.7703511,-122.4457288,274
32.0375939,-93.7076059,276
33.0455544,-116.8709189,277
33.3938786,-86.9522571,279
37.7729301,-122.4303113,227
44.4711489,-73.191989,9
42.6291521,-71.3238742,231
37.7941731,-122.3967963,284
37.7856248,-122.4144054,286
37.7831356,-122.4650848,288
37.7494392,-122.413604,291
37.7838528,-122.4122931,293
37.7908821,-122.401552,296
42.2933424,-71.3419921,297
30.3149492,-81.6892996,299
36.9597646,-122.0578374,301
46.6834852,-123.7462349,303
36.8244755,-76.2695027,306
29.776644,-95.357609,308
33.2330417,-81.3622838,309
37.7186037,-122.439474,311
34.8075466,-106.7356075,313
39.7505324,-105.0299896,316
37.7808274,-122.45855,318
42.9365678,-85.8611136,320
37.7638459,-122.4769133,322
37.8007724,-122.43095,323
38.8609471,-86.5135627,325
34.2363426,-77.9370889,327
43.577104,-86.008863,328
37.7414675,-122.4228698,330
36.9633077,-122.0431691,332
37.7164949,-122.4408199,282
37.7248484,-122.4596483,352
39.7500574,-105.0299898,295
29.7517322,-95.3618089,339
37.7992208,-122.4430506,340
37.7508612,-122.4336804,342
30.312617,-81.688596,344
36.96126,-122.0475021,346
37.7218135,-122.4620463,347
37.739421,-122.4073801,349
34.9654673,-101.9212816,351
36.9597962,-122.0550903,354
36.8371409,-75.9733572,356
38.8609483,-86.513423,358
36.9597952,-122.0570779,359
38.8610333,-86.5036979,361
43.7719838,-88.446215,364
47.8482098,-104.0500872,366
37.7108262,-122.4480675,369
37.732765,-122.37653,370
37.7606337,-122.5043581,371
37.7533244,-122.4060543,373
37.7885453,-122.4345213,374
37.7560346,-122.4069238,376
37.7808496,-122.4145046,378
37.7834647,-122.4475849,380
35.3810436,-119.0373193,381
37.789959,-122.423223,385
42.323497,-71.617636,136
37.7867691,-122.4335865,337
37.3741574,-102.8600284,393
37.7124604,-122.4445227,392
37.7744861,-122.509949,395
37.7676297,-122.4161613,397
30.3129031,-81.6886472,398
37.7852145,-122.4175982,400
34.0329904,-95.6979633,402
34.2366787,-77.9328927,404
37.7870551,-122.4117947,405
29.7765201,-95.3572685,416
37.7650777,-122.4526806,419
37.7852314,-122.4414367,421
35.053461,-78.867001,424
30.3131087,-81.6887126,426
37.7806163,-122.4619054,428
33.929048,-80.346473,430
37.7834526,-122.4105831,431
35.3810413,-119.0357393,433
29.7485583,-95.3565486,435
37.730988,-122.40505,437
30.913303,-99.787626,438
28.8310961,-81.9040117,440
31.2888111,-92.4120982,442
37.7303784,-122.4050554,443
41.8099348,-71.407198,446
32.037612,-93.7096257,449
36.9626081,-122.0438097,383
31.2881009,-92.4110054,388
37.7776536,-122.4384986,455
37.7756479,-122.45812,456
37.7277075,-122.4038815,458
34.237301,-77.921971,460
37.7437428,-122.4391738,461
37.74322,-122.4224305,463
37.7434099,-122.4741365,465
37.7267376,-122.4416129,467
30.9144488,-99.7872624,468
37.775982,-122.42958,470
36.9597962,-122.0551363,472
37.7826999,-122.414973,475
33.9298518,-80.3483917,477
39.7488042,-105.0299829,479
37.7827418,-122.4315097,480
